point_id,pointname,office_id,latitude,longitude,address
1,稲取,43,34.7817,139.0496,賀茂郡東伊豆町稲取
2,天城,43,34.8145,138.9323,賀茂郡河津町梨本
3,南伊豆,43,34.6533,138.8575,賀茂郡南伊豆町下賀茂
4,門野,43,34.7772,138.818,賀茂郡松崎町門野
5,婆娑羅,43,34.7308,138.8611,下田市加増野
6,下田,43,34.6828,138.9508,下田市中
11,松崎,43,34.7591,138.7788,賀茂郡松崎町江奈
12,仁科峠,43,34.8566,138.8387,賀茂郡西伊豆町宇久須
13,椎原,43,34.7229,138.9262,下田市椎原
14,湯ヶ野,43,34.7767,138.9546,賀茂郡河津町湯ケ野
15,大峠,43,34.7133,138.7833,賀茂郡松崎町岩科南側
19,熱川,43,34.8243,139.0596,賀茂郡東伊豆町奈良本
20,宇久須,43,34.847,138.7875,賀茂郡西伊豆町宇久須
23,大鍋,43,34.7735,138.8956,賀茂郡松崎町池代
37,白田,43,34.8078,139.0081,賀茂郡東伊豆町白田
38,青野大師ダム,43,34.6929,138.823123,賀茂郡南伊豆町青野
101,奥野ダム,42,34.9378,139.067,伊東市鎌田
102,鎌田,42,34.9309,139.0557,伊東市鎌田
103,多賀,42,35.0495,139.0611,熱海市下多賀
104,城ノ平,42,34.9382,139.0832,伊東市荻
105,熱海,42,35.0956,139.0687,熱海市水口町
106,伊東,42,34.9844,139.0936,伊東市湯川
201,湯ヶ島,40,34.9019,138.9257,伊豆市市山
202,丹那,40,35.1105,139.0074,田方郡函南町平井
203,市ノ瀬,40,35.1735,138.9505,裾野市茶畑
205,須山,40,35.2508,138.8476,裾野市須山
206,愛鷹,40,35.1704,138.8439,沼津市足高
207,船原,40,34.9245,138.842,伊豆市上船原
208,沼津,40,35.1069,138.8568,沼津市高島本町
215,御殿場,40,35.2799,138.923,御殿場市竈
216,修善寺,40,34.9717,138.9486,伊豆市加殿
217,土肥,40,34.9088,138.7966,伊豆市土肥
218,天城高原(道),40,34.9056,139.0383,伊豆市冷川
219,小山,40,35.3613,138.9845,駿東郡小山町藤曲
221,三島,40,35.1183,138.9187,三島市北田町
223,桑原,40,35.1491,138.9978,田方郡函南町桑原
224,浮橋,40,35.0552,139.0186,伊豆の国市浮橋
225,戸田新田,40,34.9765,138.8162,沼津市戸田
301,勢子辻,41,35.2351,138.7497,富士市桑崎
302,西船津,41,35.1482,138.7642,富士市西船津
303,長貫,41,35.2063,138.5634,富士宮市長貫
304,富士,41,35.1566,138.6619,富士市本市場
308,富士宮,41,35.2148,138.6128,富士宮市黒田
309,上井出,41,35.3117,138.5979,富士宮市上井出
310,広見,41,35.3551,138.6186,富士宮市人穴
311,山宮,41,35.2883,138.6394,富士宮市山宮
313,上条,41,35.2873,138.587,富士宮市上条
314,石坂,41,35.1849,138.6845,富士市石坂
316,村山,41,35.2596,138.6682,富士宮市村山
317,大渕(道),41,35.3027,138.7497,富士市大渕
318,今宮,41,35.198,138.7222,富士市今宮
319,猪之頭(農),41,35.3686,138.5656,富士宮市猪之頭
320,人穴(農),41,35.3692,138.6025,富士宮市人穴
321,大倉川ダム(農),41,35.3023,138.5688,富士宮市精進川
401,桑木穴,41,35.1501,138.5765,富士市南松野
402,和田島,20,35.1111,138.4779,静岡市清水区和田島
403,梅ヶ島,20,35.2567,138.3398,静岡市葵区梅ヶ島
404,井川,20,35.2028,138.2631,静岡市葵区井川
405,久能,20,34.9496,138.4376,静岡市駿河区大谷
406,清沢,20,35.0346,138.2535,静岡市葵区昼居度
407,静岡,20,34.9687,138.4065,静岡市駿河区有明町
412,能島,20,35.0231,138.456,静岡市清水区能島
418,麻機,20,35.0162,138.3974,静岡市葵区平柳
419,俵沢,20,35.1085,138.3656,静岡市葵区俵沢
420,平山,20,35.0772,138.4259,静岡市葵区平山
422,用宗,20,34.9295,138.3656,静岡市駿河区用宗
423,清水,20,35.0092,138.4963,静岡市清水区日の出町
424,畑薙(道),20,35.3112,138.1877,静岡市葵区田代
426,興津,20,35.0561,138.5336,静岡市清水区興津中町
427,大川,20,35.1195,138.217,静岡市葵区楢尾
434,日本平,20,34.9758,138.4669,静岡市清水区村松
501,本川根,21,35.1097,138.1382,榛原郡川根本町千頭
502,伊久美,21,34.9667,138.1547,島田市伊久美
503,島田,21,34.8381,138.2109,島田市道悦
506,川根,21,34.9377,138.0753,島田市川根町家山
511,藤枝,21,34.8484,138.2361,藤枝市瀬戸新屋
512,瀬戸谷,21,34.9046,138.1976,藤枝市滝沢
513,宮島,21,34.9582,138.2515,藤枝市岡部町宮島
514,中港,21,34.8742,138.3304,焼津市中港
601,静谷,21,34.7612,138.1959,牧之原市静谷
602,波津,21,34.6805,138.1964,牧之原市波津
603,御前崎,32,34.6095,138.2163,御前崎市港
609,池新田,32,34.6537,138.1253,御前崎市池新田
701,大河内,32,34.9439,137.9833,周智郡森町三倉
702,粟ヶ岳,32,34.8366,138.0772,掛川市東山
703,天方,32,34.838,137.9328,周智郡森町森
706,見付,32,34.7279,137.8518,磐田市見付
707,小笠山,32,34.7333,138.0139,掛川市入山瀬
708,牧之原,32,34.7655,138.1374,牧之原市東萩間
709,袋井,32,34.7414,137.9214,袋井市山名町
715,掛川,32,34.7745,138.0303,掛川市金城
716,大東,32,34.6747,138.0418,掛川市大坂
717,豊浜,32,34.6804,137.8985,磐田市豊浜
718,敷地,32,34.8468,137.8774,磐田市岩室
720,黒俣(農),32,34.8911,138.0388,掛川市黒俣
721,原野谷(農),32,34.8571,138.0111,掛川市丹間
722,孕丹橋,32,34.8531,138.0148,掛川市孕石
723,太田川ダム管理所,32,34.9044,137.995,周智郡森町亀久保
801,川竹,30,35.0381,138.0266,浜松市天竜区春野町川上
802,門桁,30,35.1207,137.914,浜松市天竜区水窪町山住
803,坂野,30,34.9798,137.7287,浜松市天竜区佐久間町浦川
804,天竜,30,34.8504,137.809,浜松市天竜区二俣町鹿島
810,水窪,30,35.1666,137.8703,浜松市天竜区水窪町奥領家
811,春野,30,34.9817,137.8984,浜松市天竜区春野町宮川
812,佐久間,30,35.0915,137.8144,浜松市天竜区佐久間町佐久間
813,龍山,30,34.9716,137.8303,浜松市天竜区龍山町戸倉
901,浜北,30,34.7933,137.79,浜松市浜北区西美薗
902,本坂,30,34.7965,137.4999,浜松市北区三ヶ日町本坂
903,湖西,30,34.7184,137.5317,湖西市吉美
904,浜松,30,34.7104,137.7346,浜松市中区中央１丁目
908,堀留,30,34.6962,137.6891,浜松市西区入野町
913,細江,30,34.8181,137.6614,浜松市北区細江町小野
914,新居,30,34.6934,137.5799,湖西市新居町新居
915,初生,30,34.7696,137.7243,浜松市北区初生町
918,田沢,30,34.8988,137.6553,浜松市北区引佐町四方浄
1001,都田川ダム(農),30,34.8773,137.7266,浜松市北区引佐町川名
1002,渋川(農),30,34.9292,137.6953,浜松市北区引佐町渋川
2000,天城,40,34.8797,138.9825,伊豆市大字筏場字筏場入天城
2001,上大見,40,34.9238,138.9981,伊豆市地蔵堂原保
2002,八幡,40,34.9542,138.9964,伊豆市八幡
2003,湯ヶ島,40,34.8922,138.9313,伊豆市湯ヶ島
2004,持越,40,34.8816,138.8794,伊豆市湯ヶ島桐山
2005,柿木,40,34.9383,138.9116,伊豆市本柿木字仲村
2006,達磨山,40,34.9736,138.8869,伊豆市修善寺字藤ヶ平
2007,沼津,40,35.0958,138.8727,沼津市本郷町
2009,丹那,40,35.1094,139.0094,田方郡函南町丹那
2010,市の瀬,40,35.1747,138.9792,三島市字蟇ケ沢
2011,丸岳,40,35.2555,138.9466,御殿場市神山字東山
2012,愛鷹,40,35.1916,138.87,裾野市大字大畑丸塚
2013,印野,40,35.2847,138.8825,御殿場市板妻
2014,戸持,20,35.2586,138.3488,静岡市葵区梅ヶ島
2015,玉川,20,35.1455,138.3299,静岡市葵区柿島
2016,安倍川島,20,35.1442,138.2958,静岡市葵区大沢
2017,牛妻,20,35.071,138.37,静岡市葵区牛妻
2018,大川,20,35.1183,138.2183,静岡市葵区楢尾
2019,奈良間,20,35.0155,138.2692,静岡市葵区奈良間
2020,静岡,20,34.9703,138.3644,静岡市葵区田町
2022,大間,21,35.1844,138.1156,榛原郡川根本町千頭奥泉於鶴策
2023,上川根,21,35.1103,138.1603,榛原郡川根本町藤川
2024,笹間,21,35.0311,138.1614,榛原郡川根町笹間上
2025,塩本,21,34.9583,138.0281,島田市家山
2027,北山,99,36.0261,138.2142,長野県茅野市湖東
2028,片桐松川,99,35.6183,137.8747,長野県下伊那郡松川町大字上片桐
2029,小黒,99,35.8492,138.16,長野県伊那市長谷町黒河内
2030,赤穂,99,35.7314,137.9322,長野県駒ヶ根市上穂南
2031,小野,99,36.0459,137.9667,長野県上伊那郡辰野町大字小野橋詰
2032,箕輪,99,35.7611,137.9075,長野県伊那市西箕輪
2033,太田切,99,35.7611,137.8503,長野県上伊那郡宮田村
2034,下浜,99,36.0525,138.0494,長野県岡谷市湊1丁目
2035,後山,99,35.9697,138.0583,長野県諏訪市大字湖南字大助
2036,藤沢,99,35.8681,138.0947,長野県伊那市高遠町長藤
2037,中沢,99,35.7197,138.0358,長野県駒ヶ根市中沢
2038,田切,99,35.6789,137.8914,長野県上伊那郡飯島町飯島
2039,佐原,99,35.535,137.9344,長野県下伊那郡豊丘村神稲
2040,上久堅,99,35.4564,137.8939,長野県飯田市上久堅
2041,北沢,99,35.7436,138.2117,長野県伊那市長谷町黒河内
2042,屋敷沢,99,35.7731,138.1394,長野県伊那市長谷町黒河内
2043,荒川,99,35.6178,138.1556,長野県伊那市長谷町浦
2044,小瀬戸湯,99,35.6578,138.1319,長野県伊那市長谷町浦
2045,塩平,99,35.7033,138.1264,長野県伊那市長谷町杉島焼枯
2046,非持,99,35.8131,138.0822,長野県伊那市長谷非持
2047,松の田,99,35.5236,138.0853,長野県下伊那郡大鹿村大河原
2048,上野々,99,35.5139,138.0189,長野県下伊那郡大鹿村大河原
2049,沢井,99,35.5897,138.0794,長野県下伊那郡大鹿村鹿塩
2050,鹿塩,99,35.6406,138.0578,長野県下伊那郡大鹿村鹿塩
2051,四徳,99,35.6519,138.0067,長野県上伊那郡中川村四徳
2052,小渋ダム,99,35.6061,137.9783,長野県下伊那郡松川町生田
2053,平田,32,34.6961,138.08,菊川市嶺田
2054,河城,32,34.7639,138.1122,菊川市和田上ノ原
2055,金谷,21,34.8203,138.1147,島田市菊川国原
2056,丹野,32,34.7294,138.1364,菊川市丹野奥原
2057,入山瀬,32,34.7128,138.0311,掛川市上土方落合
2062,津具,99,35.1747,137.6125,愛知県北設楽郡設楽町津具上野
2063,坂宇場,99,35.1797,137.6817,愛知県北設楽郡豊根村坂宇場字宮ノ嶋
2064,粟世,99,35.1855,137.7283,愛知県北設楽郡豊根村三沢水口
2066,新豊根ダム,99,35.1247,137.7594,愛知県北設楽郡豊根村古真立月代
2067,振草,99,35.105,137.6497,愛知県北設楽郡東栄町振草上粟代
2068,長島ダム,21,35.1669,138.1566,榛原郡川根本町犬間
2070,千枚,20,35.4775,138.2106,静岡市葵区井川
2071,畑薙,20,35.3267,138.1711,静岡市葵区井川
2072,小河内,20,35.3058,138.2742,静岡市葵区井川
2073,井川,20,35.2083,138.1972,静岡市葵区井川
2075,藤平,30,34.9066,137.7678,浜松市天竜区西藤平落合
2078,田口,99,35.0916,137.5628,愛知県北設楽郡設楽町大字田口字シウキ
2079,豊邦,99,35.0747,137.4703,愛知県北設楽郡設楽町豊邦字細野
2080,高里,99,34.9719,137.4317,愛知県新城市作手町鴨ケ谷字ツガノヲ
2081,布里,99,34.9853,137.5247,愛知県新城市布里字島貝津
2082,川合,99,35.0006,137.6653,愛知県新城市川合字内貝津
2083,山吉田,99,34.9017,137.6025,愛知県新城市上吉田字山本
2084,石田,99,34.891,137.4947,愛知県新城市庭野字萩野
2085,豊橋,99,34.7356,137.3758,愛知県豊橋市中野町字平西
2087,槍ヶ入,99,35.3536,137.5692,岐阜県恵那市上矢作町字上村
2088,上矢作,99,35.3064,137.5031,岐阜県恵那市上矢作町山越
2089,平谷,99,35.3231,137.6311,長野県下伊那郡平谷村
2092,矢作ダム,99,35.2364,137.4183,愛知県豊田市閑羅瀬町東畑
2094,道慈,99,35.2447,137.2594,愛知県豊田市千洗町道慈
2096,乙部,99,35.1522,137.1553,愛知県豊田市乙部町字沖の田
2099,岡崎,99,34.9897,137.1628,愛知県岡崎市上里
2100,桜形,99,34.9894,137.3147,愛知県岡崎市桜形町字市場
2101,宮崎,99,34.9366,137.3589,愛知県岡崎市宮崎町字亀穴
2102,釜無,99,35.8671,138.2252,長野県諏訪郡富士見町落合
2103,小淵沢,99,35.8579,138.3169,山梨県北杜市小淵沢町字淵子
2104,藤田,99,35.5865,138.4802,山梨県南アルプス市藤田
2105,下部,99,35.4468,138.4797,山梨県南巨摩郡身延町常葉
2106,睦合,99,35.2877,138.4544,山梨県南巨摩郡南部町南部
2107,松岡,41,35.1541,138.6288,富士市松岡官有無番地　
2108,野呂川,99,35.6457,138.2961,山梨県南アルプス市芦安芦倉
2109,夜叉神,99,35.5385,138.3369,山梨県南アルプス市芦安芦倉
2110,硯島,99,35.4088,138.3319,山梨県南巨摩郡早川町雨畑
2111,浅川,99,35.8726,138.4535,山梨県北杜市高根町浅川
2112,増富,99,35.8749,138.5021,山梨県北杜市須玉町小尾
2113,三富,99,35.7754,138.7357,山梨県山梨市三富
2114,甲府,99,35.6757,138.5524,山梨県甲府市緑ヶ丘
2115,石和,99,35.6532,138.6302,山梨県笛吹市石和町唐柏
2116,市川大門,99,35.5616,138.4885,山梨県西八代郡市川三郷町市川大門
2117,神金,99,35.7121,138.773,山梨県甲州市塩山下小田原
2118,黒駒,99,35.6032,138.7135,山梨県笛吹市御坂町上黒駒
2119,伊豆長岡,40,35.0416,138.9345,伊豆の国市墹之上
2120,赤塚,40,35.33,138.803,御殿場市中畑字西沢
2121,北狩野,40,35.0095,138.9906,伊豆の国市下畑
2122,須山,40,35.2484,138.854,裾野市須山
2124,大谷,20,35.3049,138.313,静岡市葵区梅ケ島大谷
2125,湯の島,20,35.308,138.365,静岡市葵区梅ケ島
2126,平野,20,35.145,138.3649,静岡市葵区平野
2127,関の沢,20,35.243,138.3449,静岡市葵区関の沢
2128,梅ケ島,20,35.2797,138.3354,静岡市葵区梅ケ島新田
2129,気田,30,34.9936,137.9041,浜松市天竜区春野町宮川
2130,根羽,99,35.2506,137.5883,長野県下伊那郡根羽村タチ
2131,名倉,99,35.1692,137.5397,愛知県北設楽郡設楽町西納庫
2132,大谷(光),20,35.3052,138.313,静岡市葵区梅ケ島大谷
2140,中ノ町,30,34.7275,137.7992,浜松市東区国吉町
2145,豊根,99,35.145,137.7036,愛知県北設楽郡豊根村坂宇場字宮ノ嶋
2146,釜口水門,99,36.0525,138.0522222,長野県岡谷市湊1丁目
2147,横川ダム,99,35.98111111,137.9038889,長野県上伊那郡辰野町横川
2149,高ボッチ,99,36.13333333,138.0358333,長野県塩尻市大字片丘字東山
2150,蓼科,99,36.05666667,138.2644444,長野県茅野市北山
2151,八ヶ岳,99,36.03527778,138.3147222,長野県茅野市北山
2152,茅野,99,36.02527778,138.2144444,長野県茅野市湖東新井下
2153,原村,99,35.97138889,138.2205556,長野県諏訪郡原村大字前沢
2154,諏訪合庁,99,36.03416667,138.1066667,長野県諏訪市上川1丁目
2155,屏風岩,99,35.63,137.8466667,長野県下伊那郡松川町
2156,片桐ダム,99,35.62166667,137.8502778,長野県下伊那郡松川町
2159,伊那里,99,35.7425,138.0811111,長野県伊那市長谷市野瀬
2160,飯島,99,35.67694444,137.9180556,長野県上伊那郡飯島町飯島
2161,黒覆山,99,35.68111111,137.8566667,長野県上伊那郡飯島町七久保
2162,北又,99,35.43333333,138.0280556,長野県飯田市上村ポッタ沢入
2163,本谷,99,35.74805556,137.8558333,長野県駒ヶ根市赤穂本谷
2164,伊勢滝,99,35.79944444,137.8586111,長野県上伊那郡宮田村伊勢滝
2165,此田,99,35.28444444,137.9252778,長野県飯田市南信濃八重河内
2166,山室,99,35.86388889,138.1194444,長野県伊那市高遠町荊口
2168,藤沢北,99,35.93777778,138.0997222,長野県伊那市高遠町片倉
2169,高遠,99,35.83388889,138.0558333,長野県伊那市高遠町西高遠多町
2172,遠山,99,35.38277778,138.065,長野県飯田市南信濃木沢
2175,市田,99,35.55527778,137.8858333,長野県下伊那郡高森町吉田
2180,中川原,99,35.31638889,137.9255556,長野県飯田市南信濃八重河内
2181,嵩山,99,34.8011,137.4714,愛知県豊橋市嵩山町宮下
2182,豊川,99,34.8031,137.4014,愛知県豊川市行明町末広
2183,明智,99,35.3,137.4002778,岐阜県恵那市明智町万ヶ洞
2184,猿投,99,35.15166667,137.2180556,愛知県豊田市東広瀬町
2185,足助,99,35.13833333,137.3261111,愛知県豊田市足助町岡田
2186,九久平,99,35.0694,137.2133,愛知県豊田市岩倉町馬場
2187,美合,99,34.9239,137.2036,愛知県岡崎市岡町西神馬崎北側
2188,海老,99,35.0203,137.5556,愛知県新城市海老字千原田
2189,和合,99,35.0219,137.3897,愛知県豊田市和合町田螺池
2190,金蔵連,99,35.1161,137.3856,豊田市御内町滝沢
2191,田峯,99,35.0553,137.5314,愛知県北設楽郡設楽町田峯字鐘鋳場
2192,高松,99,34.9556,137.4619,愛知県新城市作手高松字宮貝津
